
Host: Joshua-Laptop

Timers On : Tue Sep 27 18:05:01 2022
Timers Off: Tue Sep 27 18:33:26 2022

Wall Time:     1705.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.017u      0.033s      1.527w     18 calls
Libint2ERI::Libint2ERI              :     11.017u      0.083s      3.691w    142 calls
DFH: initialize()                   :     37.250u      2.217s     11.867w     18 calls
DFH: AO Construction                :     16.583u      0.350s      5.082w     18 calls
DFH: AO-Met. Contraction            :     11.950u      1.600s      4.055w     18 calls
HF: Form core H                     :      0.833u      0.033s      0.296w     18 calls
HF: Form S/X                        :      0.250u      0.000s      0.055w     18 calls
HF: Guess                           :      1.317u      0.033s      0.414w     18 calls
SAD Guess                           :      1.300u      0.033s      0.404w      7 calls
HF: Form G                          :     22.117u      0.200s      6.675w    199 calls
JK: D                               :      0.050u      0.000s      0.011w    199 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    199 calls
JK: JK                              :     21.933u      0.200s      6.637w    199 calls
DFH: compute_JK()                   :     21.883u      0.200s      6.632w    199 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    199 calls
DFH: compute_J                      :      4.483u      0.000s      1.350w    199 calls
DFH: compute_K                      :     16.633u      0.033s      4.981w    199 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    199 calls
HF: Form F                          :      0.033u      0.000s      0.011w    199 calls
HF: Form D                          :      0.033u      0.017s      0.008w    199 calls
HF: DIIS                            :      3.233u      0.333s      1.016w    192 calls
HF: Form C                          :      1.433u      0.017s      0.493w    192 calls
Grad: V T Perturb                   :      0.733u      0.017s      0.234w     14 calls
Grad: S                             :      0.150u      0.000s      0.034w     14 calls
Grad: JK                            :     71.400u      0.867s     21.670w     14 calls
JKGrad: Amn                         :     19.300u      0.400s      5.905w     14 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     14 calls
JKGrad: AB                          :      4.483u      0.100s      1.376w     14 calls
JKGrad: UV                          :      0.667u      0.067s      0.209w     14 calls
JKGrad: ABx                         :      1.017u      0.000s      0.308w     14 calls
JKGrad: Amnx                        :     45.833u      0.300s     13.817w     14 calls
Grad: XC                            :      0.000u      0.000s      0.000w     14 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.017u      0.033s      1.527w     18 calls
| Libint2ERI::Libint2ERI            :      2.083u      0.017s      1.013w     18 calls
DFH: initialize()                   :     37.250u      2.217s     11.867w     18 calls
| Libint2ERI::Libint2ERI            :      3.367u      0.067s      1.025w     54 calls
| DFH: AO Construction              :     16.583u      0.350s      5.082w     18 calls
| DFH: AO-Met. Contraction          :     11.950u      1.600s      4.055w     18 calls
HF: Form core H                     :      0.833u      0.033s      0.296w     18 calls
HF: Form S/X                        :      0.250u      0.000s      0.055w     18 calls
HF: Guess                           :      1.317u      0.033s      0.414w     18 calls
| SAD Guess                         :      1.300u      0.033s      0.404w      7 calls
HF: Form G                          :     22.117u      0.200s      6.675w    199 calls
| JK: D                             :      0.050u      0.000s      0.011w    199 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    199 calls
| JK: JK                            :     21.933u      0.200s      6.637w    199 calls
| | DFH: compute_JK()               :     21.883u      0.200s      6.632w    199 calls
